+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; NiosII|irq_mapper                                                                                                                                                         ; 7     ; 27             ; 2            ; 27             ; 32     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|width_adapter_003|uncompressor                                                                                                                                     ; 41    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|width_adapter_003                                                                                                                                                  ; 95    ; 3              ; 0            ; 3              ; 117    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|width_adapter_002                                                                                                                                                  ; 122   ; 3              ; 0            ; 3              ; 90     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|width_adapter_001|uncompressor                                                                                                                                     ; 41    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|width_adapter_001                                                                                                                                                  ; 104   ; 3              ; 0            ; 3              ; 117    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|width_adapter                                                                                                                                                      ; 122   ; 3              ; 0            ; 3              ; 99     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_mux_001|arb|adder                                                                                                                                         ; 52    ; 26             ; 0            ; 26             ; 26     ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_mux_001|arb                                                                                                                                               ; 17    ; 0              ; 4            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_mux_001                                                                                                                                                   ; 1511  ; 0              ; 0            ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_mux|arb|adder                                                                                                                                             ; 16    ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_mux|arb                                                                                                                                                   ; 8     ; 0              ; 4            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_mux                                                                                                                                                       ; 467   ; 0              ; 0            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_012                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_011                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_010                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_009                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_008                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_007                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_006                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_005                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_004                                                                                                                                                 ; 119   ; 1              ; 2            ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_003                                                                                                                                                 ; 120   ; 4              ; 2            ; 4              ; 233    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_002                                                                                                                                                 ; 120   ; 4              ; 2            ; 4              ; 233    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_001                                                                                                                                                 ; 120   ; 4              ; 2            ; 4              ; 233    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux                                                                                                                                                     ; 120   ; 4              ; 2            ; 4              ; 233    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_003|arb|adder                                                                                                                                         ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_003|arb                                                                                                                                               ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_003                                                                                                                                                   ; 235   ; 0              ; 0            ; 0              ; 118    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_002|arb|adder                                                                                                                                         ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_002|arb                                                                                                                                               ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_002                                                                                                                                                   ; 235   ; 0              ; 0            ; 0              ; 118    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_001|arb|adder                                                                                                                                         ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_001|arb                                                                                                                                               ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_001                                                                                                                                                   ; 235   ; 0              ; 0            ; 0              ; 118    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
